id,segmentationSetId,wsi,cellType,segmentationQuality,specialCharacteristics,objectType,bbox,convexArea,eccentricity,equivalentDiameter,perimeter,meanIntensity,eulerNumber,extent
18594,1,1,,,,,"[342, 1319, 475, 1440]",12911.0,0.4141312647753722,127.80606448603056,419.6467529817257,0.5921331964804005,1.0,0.7971788976573666
18595,1,1,{'Promyelocyte'},{'Good'},{'None'},{'Cell'},"[822, 1860, 1015, 2051]",29383.0,0.14547530789115176,192.94623875191613,635.1269837220808,0.5105396789139405,1.0,0.7931801535414915
18596,1,1,,,,,"[1371, 378, 1536, 521]",18849.0,0.4972704458217638,154.51380101249543,508.9015869776647,0.6295867145804511,1.0,0.7947022674295402
18597,1,1,,,,,"[1530, 596, 1705, 765]",23607.0,0.2605344038524751,172.9146732611661,569.1858582251266,0.5874199087366497,1.0,0.7940152155536769
18598,1,1,,,,,"[707, 908, 882, 1085]",24729.0,0.15007027370588488,176.9613703686806,582.842712474619,0.6826748565825193,1.0,0.7940274414850687
18599,1,1,,,,,"[216, 2259, 369, 2424]",20159.0,0.3727295645671276,159.77227429186604,526.5584412271571,0.5926899577994698,1.0,0.7941770647653
18600,1,1,,,,,"[1, 2328, 114, 2515]",16909.0,0.7955728592317879,146.28512237532524,502.2741699796952,0.5511169225941106,1.0,0.7953717287397662
18601,1,1,{'Promyelocyte'},{'Good'},{'None'},{'Cell'},"[1341, 1837, 1538, 2018]",28425.0,0.39321701817832333,189.77244405559537,625.4701294725885,0.6283042265733587,1.0,0.7932523768124071
18602,1,1,{'Promyelocyte'},{'Good'},{'None'},{'Cell'},"[1531, 1854, 1670, 1981]",14121.0,0.4037909055403123,133.7260236670685,438.96046148071053,0.6680788011922463,1.0,0.7956154761230386
18603,1,1,,,,,"[1601, 748, 1742, 907]",17903.0,0.4610560610595232,150.5741563917894,495.2447327281723,0.5761346075623488,1.0,0.7942816361122262
18604,1,1,,,,,"[1025, 1904, 1166, 2041]",15465.0,0.2338910276323677,139.83254159349994,460.6173157302028,0.5893393253890734,1.0,0.7949992234819071
18605,1,1,{'Promyelocyte'},{'Good'},{'None'},{'Not recognizeable'},"[382, 2134, 505, 2257]",12133.0,0.0,123.90096525399574,405.98989873223326,0.6465805911463034,1.0,0.7969462621455483
18606,1,1,{'Promyelocyte'},{'Good'},{'None'},{'Cell'},"[457, 2283, 592, 2410]",13735.0,0.34034364263390965,131.82733611087738,433.30360723121805,0.5626785304389175,1.0,0.7960921551472733
18607,1,1,,,,,"[265, 86, 460, 265]",27827.0,0.3968076608554107,187.7353025880163,619.8132752230962,0.6540978077551601,1.0,0.7930382466695316
18608,1,1,,,,,"[460, 1332, 607, 1499]",19609.0,0.473767817972486,157.58977542994137,518.5584412271571,0.6327857988348891,1.0,0.7945333822151616
18609,1,1,{'Promyelocyte'},{'Good'},{'None'},{'Cell'},"[1720, 1531, 1847, 1652]",12327.0,0.3037305870342194,124.8937855241424,409.98989873223326,0.6545368212278789,1.0,0.7972278258606104
18610,1,1,,,,,"[70, 2243, 235, 2402]",20963.0,0.267259298313422,162.92091575084498,536.2152954766494,0.6630071382443705,1.0,0.7946255002858776
18611,1,1,{'Promyelocyte'},{'Good'},{'None'},{'Not recognizeable'},"[1576, 1767, 1709, 1874]",11453.0,0.5925163088974595,120.26108260217316,398.6761902332486,0.6250001261157689,1.0,0.7981870564261121
18612,1,1,,,,,"[605, 436, 730, 579]",14319.0,0.4853245062719751,134.5896690052664,442.96046148071036,0.636945743566844,1.0,0.7959160839160839
18613,1,1,{'Promyelocyte'},{'Good'},{'None'},{'Cell'},"[508, 1919, 643, 2070]",16287.0,0.4467453371410909,143.6236535681166,471.9310242291877,0.5755141856651307,1.0,0.7947510424331616
18614,1,1,,,,,"[353, 2239, 476, 2372]",13119.0,0.3828229022881432,128.8280926879803,423.6467529817257,0.5823010032115646,1.0,0.7968090959105079
18615,1,1,{'Promyelocyte'},{'Mediocre'},{'None'},{'Cell'},"[1660, 910, 1817, 1113]",25429.0,0.6331092003559912,179.40519070350268,598.842712474619,0.6012679771087992,1.0,0.7931662012487841
18616,1,1,{'Promyelocyte'},{'Good'},{'None'},{'Not recognizeable'},"[1004, 2051, 1111, 2164]",9733.0,0.3234526972951355,110.89734335229556,363.36248173426384,0.5794396992340781,1.0,0.7988586551980812
18617,1,1,,,,,"[946, 650, 1079, 777]",13537.0,0.2972371120251909,130.88711958940658,429.30360723121805,0.7047117177811296,1.0,0.7965780593215321
18618,1,1,,,,,"[1093, 1468, 1250, 1593]",15725.0,0.6039453384953399,141.0112831305674,468.6173157302028,0.659917786976736,1.0,0.7957707006369427
18619,1,1,,,,,"[210, 2464, 349, 2559]",10591.0,0.7281827665465731,115.74002440883899,389.0193359837562,0.5939377720003504,1.0,0.7967436577054147
18620,1,1,,,,,"[1152, 52, 1361, 247]",32447.0,0.3589158480613753,202.80398668068625,668.0975464705581,0.7399447815628124,1.0,0.7926144031407191
18621,1,1,,,,,"[276, 1855, 415, 1994]",15449.0,0.0,139.85075132682286,458.2741699796952,0.6961396061326686,1.0,0.7950416645101185
18622,1,1,,,,,"[141, 337, 294, 522]",22577.0,0.5618937761913185,169.12517959332794,559.5290039756342,0.6975045014685153,1.0,0.7936760289701467
18623,1,1,,,,,"[1776, 570, 1919, 739]",19315.0,0.5320190512911444,156.36501839461837,516.9015869776647,0.6501626758686602,1.0,0.7945959366077711
18624,1,1,,,,,"[914, 310, 1067, 485]",21369.0,0.4832163965513015,164.5074664668625,541.8721497261419,0.6270144566307351,1.0,0.7938375350140056
18625,1,1,,,,,"[534, 2389, 657, 2514]",12343.0,0.17808689645970274,124.93455718458507,409.98989873223326,0.532044539697925,1.0,0.7973333333333333
18626,1,1,,,,,"[1263, 1460, 1358, 1551]",6977.0,0.29192486055473854,93.89986074159536,307.0782104868019,0.5067642641749841,1.0,0.8010410641989589
18627,1,1,{'Promyelocyte'},{'Good'},{'None'},{'Cell'},"[506, 1237, 625, 1346]",10417.0,0.3980586559807872,114.7567715265456,377.0193359837562,0.6497290798930033,1.0,0.7973941870326112
18628,1,1,,,,,"[564, 1690, 703, 1815]",13933.0,0.4348967764279899,132.7225267293046,437.30360723121805,0.6775194800909883,1.0,0.7962589928057554
18629,1,1,{'Promyelocyte'},{'Good'},{'None'},{'Cell'},"[683, 791, 788, 896]",8853.0,0.0,105.83330418651413,345.70562748477136,0.6274516451464069,1.0,0.7979138321995465
18630,1,1,,,,,"[1834, 258, 1919, 363]",7205.0,0.586305821697045,95.35304708793421,315.0782104868019,0.5432878439060822,1.0,0.8001120448179272
18631,1,1,,,,,"[647, 8, 770, 129]",11923.0,0.17589347206765002,122.83794952968084,401.98989873223326,0.6676789451043263,1.0,0.7962776321978096
18632,1,1,,,,,"[871, 2223, 960, 2328]",7543.0,0.5284136888133925,97.6227329690308,320.73506473629425,0.5505338146096114,1.0,0.8009630818619583
18633,1,1,,,,,"[925, 1113, 1056, 1244]",13753.0,0.0,131.92388463422742,433.30360723121805,0.6694974002716897,1.0,0.7965153545830662
18634,1,1,,,,,"[1411, 2161, 1544, 2270]",11623.0,0.5723877538834997,121.26270449790569,400.3330444827409,0.615438454123012,1.0,0.7966475822583983
18635,1,1,,,,,"[1640, 1924, 1763, 2045]",11923.0,0.17589347206765002,122.83794952968084,401.98989873223326,0.6599201124088147,1.0,0.7962776321978096
18636,1,1,,,,,"[1715, 2253, 1846, 2364]",11663.0,0.5302066652799122,121.47251987151579,400.3330444827409,0.637406082339744,1.0,0.7969878275221787
18637,1,1,,,,,"[157, 56, 278, 173]",11347.0,0.25454713730887263,119.84746682411509,392.33304448274095,0.6431901696588573,1.0,0.7968496150314333
18638,1,1,,,,,"[289, 300, 396, 425]",10727.0,0.5154077980102859,116.45288485466652,382.6761902332486,0.6390418679273419,1.0,0.7963364485981308
18639,1,1,,,,,"[1724, 761, 1867, 922]",18415.0,0.4585343886686797,152.6734958840814,503.2447327281724,0.6018367446503373,1.0,0.7951613603787517
18640,1,1,,,,,"[566, 2065, 681, 2196]",12089.0,0.4775155273328713,123.67468071882584,405.98989873223326,0.6244387229520961,1.0,0.7974112180550946
18641,1,1,{'Promyelocyte'},{'Good'},{'None'},{'Cell'},"[847, 2049, 1000, 2198]",18227.0,0.2275742249230905,151.92945634900352,499.2447327281724,0.5700687421842807,1.0,0.7952362152914857
